#,Video Title,Size (MB),Drive Link,Transcript Downloaded?,Transcript Filename,Notes
86,3 Delivery Tips and Tricks _ Digital Course Academy.mp4,88.0,https://drive.google.com/file/d/18M9NkLEjpNm9EfVCoH-UvGP6c5V07eA5/view?usp=drivesdk,,,
87,2 The Art of Teaching Inside a Digital Course _ Digital Course Academy.mp4,93.1,https://drive.google.com/file/d/1I2WbcmlT8YRFYzFACjH_1o2Q3Qe7V0AY/view?usp=drivesdk,,,
88,Snapshot _ Digital Course Academy.mp4,45.4,https://drive.google.com/file/d/1De3oU0bH-8xR7C2HQHNrgUu45GevgLUO/view?usp=drivesdk,,,
89,Module 3 Grow As You Go Bonus_ Create Your Course-Focused Freebie _ Digital Course Academy.mp4,42.7,https://drive.google.com/file/d/1LuopHx_oaL3VzNPPDP6JMH1bKnw0t9ac/view?usp=drivesdk,,,
90,3 The Course Support Strategy _ Digital Course Academy.mp4,117.8,https://drive.google.com/file/d/1rF34CRNjmB4yLJzyG0QVfwCiXs_Tmrpm/view?usp=drivesdk,,,
91,4 Your Content Framework _ Digital Course Academy.mp4,57.1,https://drive.google.com/file/d/1yW9x9ym6vPbqxIUDHsQQPcqEjnxWjPS4/view?usp=drivesdk,,,
92,1 How to Outline Your Course _ Digital Course Academy.mp4,123.2,https://drive.google.com/file/d/1NwyNLoSy0D9jgt55xHFQjBHMZ6-SSgRp/view?usp=drivesdk,,,
93,2 Refining Your Course Outline _ Digital Course Academy.mp4,49.7,https://drive.google.com/file/d/1wca-ZCDtvSpmH2SNF6xs6OCqlaLteSKy/view?usp=drivesdk,,,
94,Snapshot _ Digital Course Academy.mp4,31.8,https://drive.google.com/file/d/1CMoG5h3bjKdQmNKopd2RQFMMdoPCRV7A/view?usp=drivesdk,,,
95,4 The Behind-the-Scenes Tour of a High Converting Sales Page _ Digital Course Academy.mp4,238.9,https://drive.google.com/file/d/15dUTmzth76sjPkPITl6HBmYi1Zhj8PBk/view?usp=drivesdk,,,
96,Module 5 Grow As You Go Bonus_ Create a Quiz Lead Magnet _ Digital Course Academy.mp4,98.7,https://drive.google.com/file/d/13JG5kRatxuQEJj-XuuYAohF4f9PxK63P/view?usp=drivesdk,,,
97,3 The Digital Course Sales Page Blueprint _ Digital Course Academy.mp4,55.5,https://drive.google.com/file/d/1Y8PXPSft--yzfiB6RjDAA9RWNzpUn5_N/view?usp=drivesdk,,,
98,2 Setting Your Launch Revenue Goal _ Digital Course Academy.mp4,86.9,https://drive.google.com/file/d/1xKC_zCOk9-AINBnz_6MACfF7IPbhMCS_/view?usp=drivesdk,,,
99,1 Crafting Your Irresistible Launch Offer _ Digital Course Academy.mp4,68.5,https://drive.google.com/file/d/10nhlER4-rcWHQ9oZSje7Zq9iaZNhJZgg/view?usp=drivesdk,,,
100,Snapshot _ Digital Course Academy.mp4,28.2,https://drive.google.com/file/d/1qeJaYnKLLXUdhM4DN4Bor-Ilu2ObeZKN/view?usp=drivesdk,,,
101,2 How to Craft Your Pre-Webinar Emails _ Digital Course Academy.mp4,58.5,https://drive.google.com/file/d/1rX7eEYaBcfczsPqy59zSW_Wd2j2Dqkfi/view?usp=drivesdk,,,
102,1 How to Craft Your Webinar Invite Emails _ Digital Course Academy.mp4,69.2,https://drive.google.com/file/d/1o-FMWOORaQdOOVw262ZoBDvB2fUfi4fU/view?usp=drivesdk,,,
103,6 How to Craft Your New Customer Onboarding Emails _ Digital Course Academy.mp4,88.1,https://drive.google.com/file/d/1U4pKLvizvIr25cE61K9t73LkVoL2wxkO/view?usp=drivesdk,,,
104,The Live Launch Wrap Up _ Digital Course Academy.mp4,51.2,https://drive.google.com/file/d/1jaeUnjRP3_ufe1nUQ3U_GYBRhSBc3jh8/view?usp=drivesdk,,,
105,4 How to Craft Your Post-Webinar Emails _ Digital Course Academy.mp4,130.8,https://drive.google.com/file/d/1Awo_qo5973TBK8ihfMwNJJCXDRdAGNNp/view?usp=drivesdk,,,
106,5 How to Craft Your Post-Webinar Sales Booster Emails _ Digital Course Academy.mp4,61.4,https://drive.google.com/file/d/1bw3dTGvhp3kmEGhioeNE_PBINZeL5WE5/view?usp=drivesdk,,,
107,3 How to Craft Your Webinar Replay Email _ Digital Course Academy.mp4,54.4,https://drive.google.com/file/d/1_PGS5B-1n9zmmEuYDNSXBZZs-otTaMH6/view?usp=drivesdk,,,
108,Snapshot _ Digital Course Academy.mp4,117.6,https://drive.google.com/file/d/1c4-gmDysWxKJdrix7eN5ufH2VisK5Ydk/view?usp=drivesdk,,,
109,2 The Profitable Webinar Slide by Slide Walkthrough _ Digital Course Academy.mp4,190.0,https://drive.google.com/file/d/19YRTKw9JgHWJp1XWp0Jul85TsdsMe-Q3/view?usp=drivesdk,,,
110,3 The Golden Rules for Delivering a Profitable Webinar _ Digital Course Academy.mp4,133.7,https://drive.google.com/file/d/1yQ_AwgLoTayLAo4eKlDm4C3dp_3K7_xz/view?usp=drivesdk,,,
111,Module 6 Grow As You Go Bonus_ The 7 Strategies to Boost Webinar Sign-Ups _ Digital Course Academy.mp4,116.8,https://drive.google.com/file/d/15nq7xtkN563nxZVcF3Npyq7u4g15DT9i/view?usp=drivesdk,,,
112,5 The 5 Key Elements of a Successful Webinar Registration Page _ Digital Course Academy.mp4,68.8,https://drive.google.com/file/d/1Nt9g82gouOSLLuK9pWCBWoXm5pqvdhS4/view?usp=drivesdk,,,
113,4 How to Map Out Your Live Webinars _ Digital Course Academy.mp4,35.3,https://drive.google.com/file/d/15NDsf_RW-U-QVHGjRMg58WWBz2HfcIto/view?usp=drivesdk,,,
114,1 The Profitable Webinar Framework _ Digital Course Academy.mp4,84.9,https://drive.google.com/file/d/1vVGogGySMZMPhxJVuxpPkyalLSuumgq1/view?usp=drivesdk,,,
115,Snapshot.mp4,54.2,https://drive.google.com/file/d/1DXRRqU4A6dOKOsmciV5jNvxaGWNEfo38/view?usp=drivesdk,,,
116,4 How to Get Instant Momentum _ Digital Course Academy.mp4,106.9,https://drive.google.com/file/d/1AzTrIwkYPuGWScoxHFRnOk2IsKr0zNJe/view?usp=drivesdk,,,
117,2 The DCA New Student Orientation _ Digital Course Academy.mp4,65.1,https://drive.google.com/file/d/15nCV1c-DZ_rSTxP6nQfbUPuKN-eT9vhO/view?usp=drivesdk,,,
118,1 The Ready To Launch Digital Course Track Digital Course Academy Roadmap _ Digital Course Academy.mp4,110.4,https://drive.google.com/file/d/17TRy8DC8iibyfrA-C2SxhGwB85pdhHKu/view?usp=drivesdk,,,
119,3 The DCA Accountability Pods _ Digital Course Academy.mp4,43.8,https://drive.google.com/file/d/1mmv1COfBnRL1n2ibFHbyCsV7kro7VbGO/view?usp=drivesdk,,,
120,2 Your Personal Hype Video! _ Digital Course Academy.mp4,43.0,https://drive.google.com/file/d/1c-JiHdiSxAVtHdoHAIsM2YaV30HJDRiN/view?usp=drivesdk,,,
